Chapter,Sinhala,English
CHAPTER 2,owu,yes
CHAPTER 2,nǣ,no
CHAPTER 2,né∙méyi,(am/are/is) not
CHAPTER 2,haa,okay
CHAPTER 2,kan∙nam,(I) will eat
CHAPTER 3,sthoo∙thi,thank you
CHAPTER 3,bo∙hō∙mȧ sthoo∙thi,thank you very much
CHAPTER 3,ka∙ru∙naa∙kȧ∙rȧ∙la,please
CHAPTER 3,dhén∙nȧ,give! / to give
CHAPTER 3,én∙nȧ,come! / to come
CHAPTER 3,yan∙nȧ,go! / to go
CHAPTER 3,sa∙maa vén∙nȧ,sorry / forgive me
CHAPTER 4,ma∙mȧ,I / me
CHAPTER 4,o∙yaa,you
CHAPTER 4,mḗ,this
CHAPTER 4,ma∙gé,my / mine
CHAPTER 4,o∙yaa∙gé,your / yours
CHAPTER XX,na∙mȧ,name
CHAPTER 4,mḗ∙kȧ,this
CHAPTER 4,ma∙gén,from me
CHAPTER 4,o∙yaa∙gén,from you
CHAPTER 4,ma∙tȧ,to/for me
CHAPTER 4,o∙yaa∙tȧ,to/for you
CHAPTER 4,dhé∙nȧ∙va,giving (e.g. “I am giving”) / give / gives (e.g. “I give”)
CHAPTER 4,ka∙thaa kȧ∙rȧ∙nȧ∙va,speaking (e.g. “I am speaking”) / speak / speaks (e.g. “I speak”)
CHAPTER 5,ka∙nȧ∙va,eating (e.g. “I am eating”) / eat / eats (e.g. “I eat”)
CHAPTER 5,i∙gé∙nȧ gan∙nȧ∙va,learning (e.g. “I am learning”) / learn / learns (e.g. “I learn”)
CHAPTER 5,sing∙hȧ∙lȧ,Sinhala
CHAPTER 5,in∙gree∙si,English
CHAPTER 5,pod∙dak,a little
CHAPTER 5,kan∙né nǣ,not eating (e.g. “I am not eating”) / don’t/doesn’t eat (e.g. “I don’t eat”)
CHAPTER 5,ka∙thaa kȧ∙ran∙né nǣ,not speaking (e.g. “I am not speaking”) / don’t/doesn’t speak (e.g. “I don’t speak”)
CHAPTER 5,tha∙wȧ∙mȧ,still / yet
CHAPTER 5,i∙gé∙nȧ gan∙né nǣ,not learning (e.g. “I am not learning”) / don’t/doesn’t learn (e.g. “I don’t learn”)
CHAPTER 5,ka∙nȧ∙va∙dhȧ?,eating? (e.g. “Are you eating?”) / eat? (e.g. “Do you eat?”)
CHAPTER 5,ka∙thaa kȧ∙rȧ∙nȧ∙va∙dhȧ?,speaking? (e.g. “Are you speaking?”) / speak? (e.g. “Do you speak?”)
CHAPTER 5,i∙gé∙nȧ gan∙nȧ∙va∙dhȧ?,learning? (e.g. “Are you learning?”) / learn? (e.g. “Do you learn?”)
CHAPTER 6,a∙pi,we / us
CHAPTER 6,o∙bȧ,you
